Company Name,Type,Location,Description,Requirements,Link,Deadline,Duration
geidea,cyber,----,"As a Cyber Security Intern, you will assist in protecting the organization’s digital assets by monitoring networks for security breaches and investigating potential threats. You will help conduct vulnerability assessments and penetration testing while working with the team to implement robust security protocols. Additionally, you will support incident response efforts, document security policies, and stay up to date with the latest cyber threats and defense strategies to ensure system integrity.",----,https://www.linkedin.com/jobs/view/4338645205/,,
fawry,mobile app dev,----,"As a Mobile App Development Intern, you will assist in designing and building high-performance applications for iOS and Android platforms. You will collaborate with cross-functional teams to translate design concepts into functional mobile features, ensuring a seamless user experience across different devices. In addition to fixing bugs and optimizing app performance, you will participate in code reviews and gain hands-on experience with modern mobile frameworks and publishing processes.",,https://fawry-internship.notion.site/Mobile-App-Development-25473781f943814f9b2ec7dca21f6c55,,
XEFORT ,cyber,remotely,"As a Cyber Security Intern, you will actively support security operations by monitoring and analyzing potential digital threats and incidents. You will gain hands-on experience in vulnerability scanning and patch assessments while working to implement robust security controls and best practices. Collaborating with DevOps and Engineering teams, you will help ensure secure deployments and safe coding standards, documenting findings and risks to strengthen the organization’s overall defensive posture.",Monitor and analyze potential security threats and incidents,https://xefort.com/career/,,3 months
cultiv bureau,full-stack,heliopolis,"As a Full Stack Development Intern, you will participate in the complete software development lifecycle, building dynamic web applications from the user interface to the server-side logic. You will develop responsive frontends using modern JavaScript frameworks while simultaneously designing efficient APIs and database structures to ensure seamless data flow. In addition to debugging and optimizing performance across the entire stack, you will collaborate with design and engineering teams to deliver scalable, high-quality software solutions.",----,----,,
skillnfytech,data analyst,remotely,"As a Data Analyst Intern, you will work remotely on practical, industry-level assignments that simulate real-world data challenges. Under the mentorship of experienced professionals, you will utilize the latest analytical tools and technologies to process data and derive actionable insights. This 6-month structured program focuses heavily on skill enhancement and professional growth, offering you the chance to demonstrate your capabilities for a potential full-time placement while working in a flexible online environment.",----,https://forms.gle/Y9KJsmKPMgWRJAGz5,,6 months
codtech,choose in form,remotely,----,----,https://docs.google.com/forms/d/e/1FAIpQLScV2h6FYjmVl7YIF8-CoWzfcloHFB90g8cpOsTMuphEmQbcJA/viewform,,2 months
WEINTERN,Artificial Intelligence (AI),remotely,"As an Artificial Intelligence Intern, you will explore the cutting edge of technology by assisting in the design and training of machine learning models. You will work on tasks such as natural language processing, computer vision, or predictive analytics to solve specific business challenges. This role requires you to experiment with algorithms, process data for model training, and collaborate with the team to integrate AI capabilities into functional applications.",,https://we-intern.com/internships/,12-Dec,3 months
WEINTERN,1. Web Development (Full Stack Developer),remotely,"As a Full Stack Web Development Intern, you will participate in the complete lifecycle of web application development, handling both client-side and server-side logic. You will design responsive, user-friendly interfaces while simultaneously building robust backend systems, managing databases, and integrating APIs. Through collaboration with cross-functional teams, you will debug issues, optimize performance, and ensure seamless data flow across the entire stack using modern web technologies.",,https://we-intern.com/internships/,12-Dec,3 months
WEINTERN,App Development,remotely,"As a Mobile App Development Intern, you will assist in designing and building high-performance applications for iOS and Android platforms. You will translate design concepts into functional mobile features, ensuring a seamless user experience across various devices. In addition to debugging and optimizing code for efficiency, you will gain hands-on experience with mobile frameworks and the app deployment process while working alongside experienced developers.",,https://we-intern.com/internships/,12-Dec,3 months
WEINTERN,Java Developer,remotely,"As a Java Developer Intern, you will focus on building scalable and secure backend applications using Core Java and related frameworks. You will write efficient, object-oriented code to implement business logic and handle data processing. Working closely with the development team, you will assist in debugging, testing, and documenting software components to ensure system reliability and adherence to industry coding standards.",,https://we-intern.com/internships/,12-Dec,3 months
WEINTERN,Python Programming,remotely,"As a Python Programming Intern, you will utilize Python to develop efficient software solutions, ranging from web backends to automation scripts. You will write clean, maintainable code to solve complex problems, often integrating various libraries and APIs. This role involves debugging, code optimization, and collaborating with the team to implement functional requirements and improve overall system performance.",,https://we-intern.com/internships/,12-Dec,3 months
WEINTERN,Java Full Stack,remotely,"As a Java Full Stack Intern, you will work on end-to-end application development, combining a robust Java backend with a dynamic frontend interface. You will utilize frameworks like Spring Boot for server-side logic and modern JavaScript tools for the user interface, ensuring seamless integration via RESTful APIs. Your responsibilities will include database management, debugging across the stack, and delivering high-quality, scalable software features.",,https://we-intern.com/internships/,12-Dec,3 months
WEINTERN,Data Science & Analytics,remotely,"As a Data Science & Analytics Intern, you will collect, clean, and analyze large datasets to uncover actionable trends and business insights. You will use statistical methods and data visualization tools to present complex information clearly to stakeholders. Additionally, you will assist in building predictive models and optimizing data pipelines, gaining practical experience with tools like Python, SQL, and various analytics platforms.",,https://we-intern.com/internships/,12-Dec,3 months
WEINTERN,Cybersecurity,remotely,"As a Cybersecurity Intern, you will assist in protecting the organization’s digital infrastructure by monitoring networks for vulnerabilities and potential threats. You will participate in security assessments, help implement defense protocols, and analyze security incidents to prevent future breaches. This role offers hands-on experience in risk management, compliance, and the application of security tools to ensure data integrity and safety.",,https://we-intern.com/internships/,12-Dec,3 months
WEINTERN,IT,remotely,,,https://we-intern.com/internships/,12-Dec,3 months
Breadfast,Site Development Intern,"Cairo - New Cairo, Cairo, Egypt",,,https://lnkd.in/eCuN5acc,,
